product_desc,price,image,link
Gold Stacked Pendant Necklace with Black Drop,550.00,https://img.faballey.com/Images/Product/ZNE00008/1.jpg,https://www.houseofindya.com/gold-stacked-pendant-necklace-with-black-drop-23/iprdt
White  Chandelier Diamond Earrings,1150.00,https://img.faballey.com/Images/Product/ZEA00055/1.jpg,https://www.houseofindya.com/white--chandelier-diamond-earrings-22/iprdt
Gold Kundan Pearl Drop Leaf Earrings,1050.00,https://img.faballey.com/Images/Product/ZEA00255/1.jpg,https://www.houseofindya.com/gold-kundan-pearl-drop-leaf-earrings-22/iprdt
Gold Brown Oval Dangler Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00185/1.jpg,https://www.houseofindya.com/gold-brown-oval-dangler-earrings-22/iprdt
White Green Drop Diamond Dangler Earrings,950.00,https://img.faballey.com/Images/Product/ZEA00046/1.jpg,https://www.houseofindya.com/white-green-drop-diamond-dangler-earrings-22/iprdt
Gold Pearl Jadau Dangler Earrings,1200.00,https://img.faballey.com/Images/Product/ZEA00246/1.jpg,https://www.houseofindya.com/gold-pearl-jadau-dangler-earrings-22/iprdt
Silver Metallic Tassel Oxidised Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00173/1.jpg,https://www.houseofindya.com/silver-metallic-tassel-oxidised-dangler-earrings-22/iprdt
Dual Toned Coined Oxidised Earrings,900.00,https://img.faballey.com/Images/Product/ZEA00160/1.jpg,https://www.houseofindya.com/dual-toned-coined-oxidised-earrings-22/iprdt
Gold Green Kundan Meena Bracelet,1300.00,https://img.faballey.com/Images/Product/ZBR00044/1.jpg,https://www.houseofindya.com/gold-green-kundan-meena-bracelet-27/iprdt
Silver Hammered Plate Oxidised Hoop Earrings,350.00,https://img.faballey.com/Images/Product/ZEA00179/1.jpg,https://www.houseofindya.com/silver-hammered-plate-oxidised-hoop-earrings-22/iprdt
Silver Gravel Oxidised Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00181/1.jpg,https://www.houseofindya.com/silver-gravel-oxidised-dangler-earrings-22/iprdt
Green Meena Kundan Maang Tika,900.00,https://img.faballey.com/Images/Product/ZMT00006/1.jpg,https://www.houseofindya.com/green-meena-kundan-maang-tika-32/iprdt
Gold Kundan Green Bead Floral Maang Tika,975.00,https://img.faballey.com/Images/Product/ZMT00009/1.jpg,https://www.houseofindya.com/gold-kundan-green-bead-floral-maang-tika-32/iprdt
Gold White Square Kundan Beaded Drop Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00042/1.jpg,https://www.houseofindya.com/gold-white-square-kundan-beaded-drop-bracelet-27/iprdt
White Blue Diamond Earring Pendant Necklace Set,2625.00,https://img.faballey.com/Images/Product/ZNS00011/1.jpg,https://www.houseofindya.com/white-blue-diamond-earring-pendant-necklace-set-290/iprdt
Gold Blue Kundan Meena Petal Drop Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00079/1.jpg,https://www.houseofindya.com/gold-blue-kundan-meena-petal-drop-earrings-22/iprdt
Gold Kundan Earring Pearl String Pendant Necklace Set,1500.00,https://img.faballey.com/Images/Product/ZNS00008/1.jpg,https://www.houseofindya.com/gold-kundan-earring-pearl-string-pendant-necklace-set-290/iprdt
Silver Black Arrow Drop Gypsy Oxidised Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00177/1.jpg,https://www.houseofindya.com/silver-black-arrow-drop-gypsy-oxidised-earrings-22/iprdt
Gold Kundan Tukdi Earring Necklace Set,2500.00,https://img.faballey.com/Images/Product/ZNS00007/1.jpg,https://www.houseofindya.com/gold-kundan-tukdi-earring-necklace-set-290/iprdt
Silver Leaf Textured Oxidized Cuff Bracelet,475.00,https://img.faballey.com/Images/Product/ZBR00029/1.jpg,https://www.houseofindya.com/silver-leaf-textured-oxidized-cuff-bracelet-27/iprdt
Green Meena Kundan Chandbali Maang Tika,1400.00,https://img.faballey.com/Images/Product/ZMT00010/1.jpg,https://www.houseofindya.com/green-meena-kundan-chandbali-maang-tika-32/iprdt
Silver Black Circular Gypsy Oxidised  Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00174/1.jpg,https://www.houseofindya.com/silver-black-circular-gypsy-oxidised--earrings-22/iprdt
Gold Green Kundan Bead Drop Earring Necklace Set,3750.00,https://img.faballey.com/Images/Product/ZNS00018/1.jpg,https://www.houseofindya.com/gold-green-kundan-bead-drop-earring-necklace-set-290/iprdt
Gold Kundan Pearl Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00039/1.jpg,https://www.houseofindya.com/gold-kundan-pearl-bracelet-27/iprdt
Silver Weave Oxidised Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00180/1.jpg,https://www.houseofindya.com/silver-weave-oxidised-dangler-earrings-22/iprdt
Gold Kundan Lotus Maang Tika,1700.00,https://img.faballey.com/Images/Product/ZMT00011/1.jpg,https://www.houseofindya.com/gold-kundan-lotus-maang-tika-32/iprdt
